,Country,GDP_USD_billion
0,United States,"26,854,599"
1,China,"19,373,586"
2,Japan,"4,409,738"
3,Germany,"4,308,854"
4,India,"3,736,882"
5,United Kingdom,"3,158,938"
6,France,"2,923,489"
7,Italy,"2,169,745"
8,Canada,"2,089,672"
9,Brazil,"2,081,235"
10,Russia,"2,062,649"
11,South Korea,"1,721,909"
12,Australia,"1,707,548"
13,Mexico,"1,663,164"
14,Spain,"1,492,432"
15,Indonesia,"1,391,778"
16,Netherlands,"1,080,880"
17,Saudi Arabia,"1,061,902"
18,Turkey,"1,029,303"
19,Switzerland,"869,601"
20,Taiwan,"790,728"
21,Poland,"748,887"
22,Argentina,"641,102"
23,Belgium,"624,248"
24,Sweden,"599,052"
25,Ireland,"594,095"
26,Thailand,"574,231"
27,Norway,"554,105"
28,Israel,"539,223"
29,Singapore,"515,548"
30,Austria,"515,199"
31,Nigeria,"506,601"
32,United Arab Emirates,"498,978"
33,Vietnam,"449,094"
34,Malaysia,"447,026"
35,Philippines,"440,901"
36,Bangladesh,"420,516"
37,Denmark,"405,626"
38,South Africa,"399,015"
39,Hong Kong,"382,854"
40,Egypt,"378,110"
41,Pakistan,—
42,Iran,"367,970"
43,Chile,"358,557"
44,Romania,"348,902"
45,Colombia,"334,689"
46,Czech Republic,"330,483"
47,Finland,"301,670"
48,Peru,"268,235"
49,Iraq,"267,893"
50,Portugal,"267,721"
51,New Zealand,"251,969"
52,Kazakhstan,"245,695"
53,Greece,"239,300"
54,Qatar,"219,570"
55,Algeria,"206,007"
56,Hungary,"188,505"
57,Kuwait,"164,713"
58,Ethiopia,"156,083"
59,Ukraine,"148,712"
60,Morocco,"138,781"
61,Slovakia,"127,533"
62,Ecuador,"121,291"
63,Dominican Republic,"121,289"
64,Puerto Rico,"120,838"
65,Kenya,"118,130"
66,Angola,"117,877"
67,Cuba,—
68,Oman,"104,902"
69,Guatemala,"102,309"
70,Bulgaria,"100,635"
71,Venezuela,"96,628"
72,Uzbekistan,"92,332"
73,Luxembourg,"86,971"
74,Tanzania,"85,421"
75,Turkmenistan,"82,649"
76,Croatia,"78,881"
77,Lithuania,"78,346"
78,Costa Rica,"77,777"
79,Uruguay,"77,313"
80,Panama,"77,257"
81,Ivory Coast,"77,047"
82,Sri Lanka,—
83,Serbia,"73,961"
84,Belarus,"73,543"
85,Azerbaijan,"70,030"
86,DR Congo,"69,474"
87,Slovenia,"68,108"
88,Ghana,"66,622"
89,Myanmar,"63,988"
90,Jordan,"52,061"
91,Tunisia,"49,815"
92,Uganda,"49,792"
93,Cameroon,"48,625"
94,Latvia,"47,398"
95,Sudan,"46,705"
96,Libya,"46,297"
97,Bolivia,"46,097"
98,Bahrain,"44,870"
99,Paraguay,"42,820"
100,Nepal,"42,097"
101,Estonia,"41,551"
102,Macau,"35,841"
103,El Salvador,"33,752"
104,Honduras,"32,860"
105,Papua New Guinea,"31,362"
106,Senegal,"31,221"
107,Cyprus,"30,864"
108,Cambodia,"30,628"
109,Zimbabwe,"29,931"
110,Zambia,"29,272"
111,Iceland,"28,625"
112,Bosnia and Herzegovina,"28,488"
113,Trinidad and Tobago,"28,223"
114,Georgia,"27,947"
115,Haiti,"26,580"
116,Lebanon,—
117,Armenia,"23,725"
118,Guinea,"23,330"
119,Burkina Faso,"21,076"
120,Mali,"20,776"
121,Gabon,"20,330"
122,Albania,"20,177"
123,Afghanistan,—
124,Mozambique,"19,909"
125,Palestine,"19,206"
126,Botswana,"19,572"
127,Yemen,"19,529"
128,Malta,"19,405"
129,Benin,"19,236"
130,Nicaragua,"17,287"
131,Jamaica,"17,254"
132,Mongolia,"16,908"
133,Niger,"16,617"
134,Guyana,"16,309"
135,Brunei,"15,988"
136,Madagascar,"15,969"
137,North Korea,—
138,Moldova,"15,829"
139,Syria,—
140,North Macedonia,"15,278"
141,Equatorial Guinea,"15,099"
142,Mauritius,"14,570"
143,Bahamas,"14,114"
144,Laos,"14,091"
145,Namibia,"13,486"
146,Rwanda,"13,149"
147,Congo,"13,031"
148,Tajikistan,"12,796"
149,Kyrgyzstan,"12,309"
150,Chad,"11,962"
151,Malawi,"11,277"
152,Mauritania,"10,966"
153,New Caledonia,—
154,Kosovo,"9,990"
155,Togo,"9,001"
156,Somalia,"8,738"
157,Monaco,—
158,Bermuda,—
159,Montenegro,"7,027"
160,South Sudan,"7,012"
161,Maldives,"7,004"
162,Liechtenstein,—
163,Barbados,"6,117"
164,French Polynesia,—
165,Cayman Islands,—
166,Fiji,"5,385"
167,Eswatini,"4,824"
168,Liberia,"4,375"
169,Djibouti,"3,916"
170,Andorra,"3,669"
171,Aruba,"3,633"
172,Sierra Leone,"3,520"
173,Suriname,"3,470"
174,Burundi,"3,234"
175,Belize,"3,162"
176,Greenland,—
177,Central African Republic,"2,736"
178,Curaçao,—
179,Bhutan,"2,683"
180,Eritrea,"2,666"
181,Lesotho,"2,584"
182,Cape Verde,"2,468"
183,Gambia,"2,277"
184,Saint Lucia,"2,262"
185,East Timor,"1,988"
186,Seychelles,"1,950"
187,Guinea-Bissau,"1,887"
188,Antigua and Barbuda,"1,864"
189,San Marino,"1,807"
190,Zanzibar,—
191,Solomon Islands,"1,701"
192,British Virgin Islands,—
193,Comoros,"1,348"
194,Grenada,"1,274"
195,Vanuatu,"1,064"
196,Saint Kitts and Nevis,"1,052"
197,Saint Vincent and the Grenadines,"1,039"
198,Turks and Caicos Islands,—
199,Samoa,898
200,Sint Maarten,—
201,Dominica,681
202,São Tomé and Príncipe,625
203,Tonga,541
204,Micronesia,456
205,Marshall Islands,291
206,Cook Islands,—
207,Palau,262
208,Anguilla,—
209,Kiribati,248
210,Nauru,151
211,Montserrat,—
212,Tuvalu,65
